tweet,username,clean_tweet,sentiment
"@rinovsky12 @Paltiwest Saya gak setuju dgn isi ajakan org ini tapi tetap harus dalam koridor hukum. Skrg RUU Perlindungan Data Pribadi sdg digodok dgn maksud hindari penyalahgunaan data &amp; potensi pencemaran nama baik. Kalau sudah terbukti &amp; dipidana, silahkan saja sebar datanya utk lindungi publik",Z_Nome,"@rinovsky12 @Paltiwest Saya gak setuju dgn isi ajakan org ini tapi tetap harus dalam koridor hukum. Skrg RUU Perlindungan Data Pribadi sdg digodok dgn maksud hindari penyalahgunaan data &amp; potensi pencemaran nama baik. Kalau sudah terbukti &amp; dipidana, silahkan saja sebar datanya utk lindungi publik",Positive
"Undang-undang perlindungan data pribadi,akan disahkan dalam waktu dekat oleh DPR. https://t.co/gbUpDKt2Wm",PrezindentFake,"Undang-undang perlindungan data pribadi,akan disahkan dalam waktu dekat oleh DPR. https://t.co/gbUpDKt2Wm",Neutral
"undang undang perlindungan data pribadi aja belum jelas, uda pengen bangun silicon valley. Sama kek ke kfc bingung mau beli apa ? karena signature ayam nya belum ada. 😂😂😂",auyomatic,"undang undang perlindungan data pribadi aja belum jelas, uda pengen bangun silicon valley. Sama kek ke kfc bingung mau beli apa ? karena signature ayam nya belum ada. 😂😂😂",Negative
"UU Keamanan Ketahanan Siber &amp; UU Perlindungan Data Pribadi ditunda dengan alasan belum urgent, tapi proyek Bukit Algoritma dikebut. Mantap banget deh. Salut. Terlampau inovatif, menyepelekan hal fundamental.",diodimm,"UU Keamanan Ketahanan Siber &amp; UU Perlindungan Data Pribadi ditunda dengan alasan belum urgent, tapi proyek Bukit Algoritma dikebut. Mantap banget deh. Salut. Terlampau inovatif, menyepelekan hal fundamental.",Neutral
"Listrik sering mati, internet lemot, lemahnya perlindungan data pribadi, aplikasi sama website pemerintah masih banyak kekurangan",hellosolechan,"Listrik sering mati, internet lemot, lemahnya perlindungan data pribadi, aplikasi sama website pemerintah masih banyak kekurangan",Positive
"@AdhieMassardi Sudah hadir koq, bahkan memuji .. Perlindungan data pribadi penduduk nya ?? .. Ya nganu .. https://t.co/o4Waxr0YAg",FalsSuara,"@AdhieMassardi Sudah hadir koq, bahkan memuji .. Perlindungan data pribadi penduduk nya ?? .. Ya nganu .. https://t.co/o4Waxr0YAg",Positive
"Perlindungan data pribadi gak ada, urusan administrasi masih serba fotocopy, ehh..ada yang menghalu ria pingin bikin pusat teknologi,",timotiuspatrick,"Perlindungan data pribadi gak ada, urusan administrasi masih serba fotocopy, ehh..ada yang menghalu ria pingin bikin pusat teknologi,",Neutral
@Stakof Ini Dukcapil masih blm memberikan fungsi perlindungan. Bisa saja yg mengajukan data pribadi bukan yg bersangkutan. Datanya sesuai tapi colongan dan tanpa izin yg punya. Seharusnya ada notifikasi.,4n15fuad,@Stakof Ini Dukcapil masih blm memberikan fungsi perlindungan. Bisa saja yg mengajukan data pribadi bukan yg bersangkutan. Datanya sesuai tapi colongan dan tanpa izin yg punya. Seharusnya ada notifikasi.,Positive
Sahkan RUU #PerlindunganDataPribadi Supaya pinjol ilegal ini bisa dijerat dengan pencurian data pribadi.,ellaherlany,Sahkan RUU #PerlindunganDataPribadi Supaya pinjol ilegal ini bisa dijerat dengan pencurian data pribadi.,Negative
"Akun-akun mahasiswi cantik merupakan bentuk dari minimnya pemahaman tentang pentingnya perlindungan data pribadi. Akun-akun ini juga melestarikan kultur kekerasan, karena komentarnya seksis dan misoginis. https://t.co/gkWZiNjWcM",magdaleneid,"Akun-akun mahasiswi cantik merupakan bentuk dari minimnya pemahaman tentang pentingnya perlindungan data pribadi. Akun-akun ini juga melestarikan kultur kekerasan, karena komentarnya seksis dan misoginis. https://t.co/gkWZiNjWcM",Positive
"Dalam RUU Perlindungan Data Pribadi, Kementerian Komunikasi dan Informatika memegang otoritas perlindungan data pribadi di Indonesia. Namun, tidak jelas apa tugas dan tanggung jawab Kemkominfo dalam perannya tersebut. https://t.co/Fa4PXbAh5k",magdaleneid,"Dalam RUU Perlindungan Data Pribadi, Kementerian Komunikasi dan Informatika memegang otoritas perlindungan data pribadi di Indonesia. Namun, tidak jelas apa tugas dan tanggung jawab Kemkominfo dalam perannya tersebut. https://t.co/Fa4PXbAh5k",Positive
"RUU Perlindungan Data Pribadi (PDP) dihentikan, PKS: Hanya Sementara, Namun Akan Tetap Berlanjut! https://t.co/oohf0T1JdS via @FPKSDPRRI",PKSJaksel,"RUU Perlindungan Data Pribadi (PDP) dihentikan, PKS: Hanya Sementara, Namun Akan Tetap Berlanjut! https://t.co/oohf0T1JdS via @FPKSDPRRI",Negative
"Tak hanya itu, ccTLD .id milik Indonesia pun yang registrinya adalah @Pandi_ID pada 2018 membuat kebijakan perlindungan data pribadi yang membuat data pribadi registran .id di WHOIS tidak lagi dibuka secara luas.",svaradiva,"Tak hanya itu, ccTLD .id milik Indonesia pun yang registrinya adalah @Pandi_ID pada 2018 membuat kebijakan perlindungan data pribadi yang membuat data pribadi registran .id di WHOIS tidak lagi dibuka secara luas.",Negative
"Pembahasan RUU Perlindungan Data Pribadi dihentikan sementara. RUU diajukan untuk mencegah terjadinya kebocoran data pribadi dalam layanan publik, seperti media sosial WhatsApp dan Facebook. https://t.co/FWRI0pkXWY",PKSejahtera,"Pembahasan RUU Perlindungan Data Pribadi dihentikan sementara. RUU diajukan untuk mencegah terjadinya kebocoran data pribadi dalam layanan publik, seperti media sosial WhatsApp dan Facebook. https://t.co/FWRI0pkXWY",Negative
"@jejemanuu Hai Toppers, pembaruan Kebijakan Privasi merupakan salah satu bentuk kepatuhan Tokopedia terhadap perlindungan data pribadi di Indonesia. Tokopedia adalah bisnis kepercayaan sehingga kerahasiaan dan keamanan data pribadi pengguna merupakan hal yang utama.",TokopediaCare,"@jejemanuu Hai Toppers, pembaruan Kebijakan Privasi merupakan salah satu bentuk kepatuhan Tokopedia terhadap perlindungan data pribadi di Indonesia. Tokopedia adalah bisnis kepercayaan sehingga kerahasiaan dan keamanan data pribadi pengguna merupakan hal yang utama.",Positive
"Makanya dibikin dong dengan pihak legislatif UU perlindungan data pribadi. Eh lupa data penduduk juga dikasih ke perusahaan swasta, tapi gapapa sih selama dibuatkan regulasi pengecualian untuk verifikasi data, dengan sinkronisasi pada nomor yg menggunakan NIK sama.",sjh00930,"Makanya dibikin dong dengan pihak legislatif UU perlindungan data pribadi. Eh lupa data penduduk juga dikasih ke perusahaan swasta, tapi gapapa sih selama dibuatkan regulasi pengecualian untuk verifikasi data, dengan sinkronisasi pada nomor yg menggunakan NIK sama.",Negative
"@ismailfahmi Tapi dianggapnya sebagai penghinaan terhadap administrasi, bukan sebagai perlindungan data pribadi *nyiaaa",Andika_CJ,"@ismailfahmi Tapi dianggapnya sebagai penghinaan terhadap administrasi, bukan sebagai perlindungan data pribadi *nyiaaa",Negative
"@Alchorinawhyuu Ramudeng, hak perlindungan data pribadi. Jare oseng e udu takjil e",fltatp_,"@Alchorinawhyuu Ramudeng, hak perlindungan data pribadi. Jare oseng e udu takjil e",Neutral
"@kemkominfo @faizaufi ditunggu juga ya min SPBE nya, biar digital identity mgt nya bisa segera berjalan efektif dan juga memenuhi kaidah2 perlindungan data pribadi kan katanya ""tanggung jawab bersama""",ktyptorio,"@kemkominfo @faizaufi ditunggu juga ya min SPBE nya, biar digital identity mgt nya bisa segera berjalan efektif dan juga memenuhi kaidah2 perlindungan data pribadi kan katanya ""tanggung jawab bersama""",Positive
"Perlindungan Data Pribadi, KTP dan KK Tidak Perlu Difotokopi https://t.co/T1Vvqch7CF",Bisniscom,"Perlindungan Data Pribadi, KTP dan KK Tidak Perlu Difotokopi https://t.co/T1Vvqch7CF",Neutral
Btw gada perlindungan data konsumen ya itu chat pribadi bisa diacak2 dikeluarin ke publik😱,sheentaaa,Btw gada perlindungan data konsumen ya itu chat pribadi bisa diacak2 dikeluarin ke publik😱,Positive
"Tunda pengesahan dengan alasan penyerapan aspirasi rakyat belom optimal. Di sisi lain paket RUU Perlindungan Data Pribadi dan RUU Penanggulangan Bencana juga jadi abai, nah kan keliatan kepentingan mana ini yang jadi prioritas. Ya jelas kepentingan rakyat lah, rakyat Vrindavan.",alfrzrz,"Tunda pengesahan dengan alasan penyerapan aspirasi rakyat belom optimal. Di sisi lain paket RUU Perlindungan Data Pribadi dan RUU Penanggulangan Bencana juga jadi abai, nah kan keliatan kepentingan mana ini yang jadi prioritas. Ya jelas kepentingan rakyat lah, rakyat Vrindavan.",Neutral
"@hidahidaan Sejak 2016 udah terima usulan revisi. kembalikan ke marwah asalnya aja itu UU ngurusin perlindungan transaksi EL, kerahsian data pribadi, pencegahan pembobolan rekening, dan penipuan perdata.",BukhariSutrisno,"@hidahidaan Sejak 2016 udah terima usulan revisi. kembalikan ke marwah asalnya aja itu UU ngurusin perlindungan transaksi EL, kerahsian data pribadi, pencegahan pembobolan rekening, dan penipuan perdata.",Negative
@happinessinjune @Sunda_Fess Yang jadi alesan kenapa banyak korban revenge porn ngga mau lapor (apalagi ke polisi) takut jadi tersangka karena memproduksi konten pornografi karena perlindungan data pribadi di Indonesia emang jelek bgt. Makanya butuh bantuan komnas perempuan buat jadi perantaranya.,terasikering,@happinessinjune @Sunda_Fess Yang jadi alesan kenapa banyak korban revenge porn ngga mau lapor (apalagi ke polisi) takut jadi tersangka karena memproduksi konten pornografi karena perlindungan data pribadi di Indonesia emang jelek bgt. Makanya butuh bantuan komnas perempuan buat jadi perantaranya.,Negative
"Belakangan ini, aplikasi MyHeritage ramai digunakan untuk membuat foto orang yang sudah meninggal terlihat lebih hidup. Ahli IT mengingatkan pengguna untuk berhati-hati, terlebih belum ada UU Perlindungan Data Pribadi. https://t.co/8choZBiGVc",KATADATAcoid,"Belakangan ini, aplikasi MyHeritage ramai digunakan untuk membuat foto orang yang sudah meninggal terlihat lebih hidup. Ahli IT mengingatkan pengguna untuk berhati-hati, terlebih belum ada UU Perlindungan Data Pribadi. https://t.co/8choZBiGVc",Positive
"Waspada Aplikasi MyHeritage, UU Perlindungan Data Pribadi Dipertanyakan https://t.co/vbXNV1M87e",suaramerdeka,"Waspada Aplikasi MyHeritage, UU Perlindungan Data Pribadi Dipertanyakan https://t.co/vbXNV1M87e",Negative
"Belakangan ini, aplikasi MyHeritage viral. Ahli IT pun mengingatkan pengguna untuk berhati-hati, terlebih belum ada UU. Perlindungan Data Pribadi. https://t.co/L70tlLzYbF",KATADATAcoid,"Belakangan ini, aplikasi MyHeritage viral. Ahli IT pun mengingatkan pengguna untuk berhati-hati, terlebih belum ada UU. Perlindungan Data Pribadi. https://t.co/L70tlLzYbF",Positive
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,andricahyo15,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,irgharyadi65,Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,SIndrasakti,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @HamzahSuryadin @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,ndung4382,@reskrimsusjtg @HamzahSuryadin @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,syamsul1880,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,noerma04594784,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,AlfaYogaP1,@reskrimsusjtg @jorosima1 Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,merah_putih667,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,RibutCobra,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Sonibargawa1,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,HamzahSuryadin,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Kissabraar79,Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Kissabraar79,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,ZnBibit,@reskrimsusjtg @jorosima1 @CCICPolri Saat ini RUU Perlindungan Data Pribadi masih dalam proses oleh legislatif. #ClusterInternetSehat,Neutral
"@dajjalosamu 1) Pengiriman bisnis pemrosesan informasi pribadi yang terkait dengan bisnis CS dan TM, urusan terkait ERP internal, urusan terkait penyimpanan data, dll. Tercermin dalam ""transfer ke luar negeri"" 2) Hukum terkait: Pasal 30 Undang-Undang Perlindungan Informasi Pribadi, Pasal 39-",bad00ed,"@dajjalosamu 1) Pengiriman bisnis pemrosesan informasi pribadi yang terkait dengan bisnis CS dan TM, urusan terkait ERP internal, urusan terkait penyimpanan data, dll. Tercermin dalam ""transfer ke luar negeri"" 2) Hukum terkait: Pasal 30 Undang-Undang Perlindungan Informasi Pribadi, Pasal 39-",Neutral
"@_PHlLOSOPHY @fajarnugros Masny itu belum ngeh, seorng kurir ngajarin soal perlindungan data pribadi 👀",Just_Ayiex,"@_PHlLOSOPHY @fajarnugros Masny itu belum ngeh, seorng kurir ngajarin soal perlindungan data pribadi 👀",Neutral
"Anaknya yang nyuri, orang tuanya protes terkait perlindungan hak konsumen sama melindungi data pribadi. Hadeuh, ayo dong",bruttenforce,"Anaknya yang nyuri, orang tuanya protes terkait perlindungan hak konsumen sama melindungi data pribadi. Hadeuh, ayo dong",Positive
Praktik jual beli e-KTP marak bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/KFbhMNNoZZ,akuikieko,Praktik jual beli e-KTP marak bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/KFbhMNNoZZ,Negative
Praktik jual beli e-KTP marah bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/AQ15bOVaen,KATADATAcoid,Praktik jual beli e-KTP marah bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/AQ15bOVaen,Negative
Tiga manfaat penting UU Perlindungan Data Pribadi yang saat ini terhambat di DPR by @RssFeed - https://t.co/41ENpJCZtG https://t.co/juwE0ZI0IW,kabarwarga,Tiga manfaat penting UU Perlindungan Data Pribadi yang saat ini terhambat di DPR by @RssFeed - https://t.co/41ENpJCZtG https://t.co/juwE0ZI0IW,Positive
Asosiasi Fintech Dorong UU Perlindungan Data Pribadi Segera Disahkan https://t.co/CB9Eisotq6,asjeplak,Asosiasi Fintech Dorong UU Perlindungan Data Pribadi Segera Disahkan https://t.co/CB9Eisotq6,Positive
Asosiasi Fintech Ingin UU Perlindungan Data Pribadi Segera Disahkan https://t.co/P3uyPv1z8z,medcom_id,Asosiasi Fintech Ingin UU Perlindungan Data Pribadi Segera Disahkan https://t.co/P3uyPv1z8z,Neutral
"@karim_alfati @nurdienaji @yogiadiprasetya @TriAditha @hrdbacot Astagfirullah, @kemkominfo ini yang kalian suruh jaga data pribadi?Gercepin UU PERLINDUNGAN DATA PRIBADINYA",yeahalfi,"@karim_alfati @nurdienaji @yogiadiprasetya @TriAditha @hrdbacot Astagfirullah, @kemkominfo ini yang kalian suruh jaga data pribadi?Gercepin UU PERLINDUNGAN DATA PRIBADINYA",Neutral
@rasgans Meminta perlindungan data pribadi dengan mengumbar data pribadi 🤣,ekky1995,@rasgans Meminta perlindungan data pribadi dengan mengumbar data pribadi 🤣,Negative
Netijen kek gitu biasanya yang paling getol bising ke pemerintah minta perlindungan data pribadi wasweswos 😂,rasgans,Netijen kek gitu biasanya yang paling getol bising ke pemerintah minta perlindungan data pribadi wasweswos 😂,Neutral
Praktik jual beli e-KTP marah bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/AQ15bOVaen,KATADATAcoid,Praktik jual beli e-KTP marah bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/AQ15bOVaen,Negative
Sumbang saran &amp; pemikiran untuk literasi digital : Perlindungan Data Pribadi #MakinCakapDigital #jelajahvisi #rifkyindrawan #rtiklampung #BanggaJadiRelawanTIK #siberkreasi https://t.co/Ul3aQYb5bw,rifkyindrawan,Sumbang saran &amp; pemikiran untuk literasi digital : Perlindungan Data Pribadi #MakinCakapDigital #jelajahvisi #rifkyindrawan #rtiklampung #BanggaJadiRelawanTIK #siberkreasi https://t.co/Ul3aQYb5bw,Neutral
"Enek gw sama yang beginian di twitter. Woi dalam pemanfaatan teknologi informasi, setiap orang berhak mendapatkan perlindungan data pribadi dan itu merupakan privacy rights! Kecuali dengan persetujuan, mengungkap data pribadi orang lain merupakan PERBUATAN MELAWAN HUKUM!",legalfreakk,"Enek gw sama yang beginian di twitter. Woi dalam pemanfaatan teknologi informasi, setiap orang berhak mendapatkan perlindungan data pribadi dan itu merupakan privacy rights! Kecuali dengan persetujuan, mengungkap data pribadi orang lain merupakan PERBUATAN MELAWAN HUKUM!",Neutral
Tulisan sy terbaru. Soal perlindungan data pribadi https://t.co/OlCgUWFaSb,AndyRWijaya,Tulisan sy terbaru. Soal perlindungan data pribadi https://t.co/OlCgUWFaSb,Neutral
Lalu juga ada RUU PDP (Perlindungan Data Pribadi) yg sedang dibahas oleh DPR . Kalau ini semua jalan. Maka Pemerintahan Jokowi sudah menerapkan standar tinggi untuk dilaksanakan saat ini dan di masa depan. Iya kan?,yhendarsyah,Lalu juga ada RUU PDP (Perlindungan Data Pribadi) yg sedang dibahas oleh DPR . Kalau ini semua jalan. Maka Pemerintahan Jokowi sudah menerapkan standar tinggi untuk dilaksanakan saat ini dan di masa depan. Iya kan?,Neutral
@yuswadi33163163 Mohon lengkapi data berikut melalui DM (Direct message) untuk perlindungan data pribadi: Nama: Alamat Lengkap: Nomor KK Sebelumnya: NIK: Nomor Telepon:,DKIJakarta,@yuswadi33163163 Mohon lengkapi data berikut melalui DM (Direct message) untuk perlindungan data pribadi: Nama: Alamat Lengkap: Nomor KK Sebelumnya: NIK: Nomor Telepon:,Neutral
Praktik jual beli e-KTP marah bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/AQ15bOVaen,KATADATAcoid,Praktik jual beli e-KTP marah bertebaran di berbagai forum. Data pribadi penduduk rentan disalahgunakan dan menjadi sasaran empuk pelaku kejahatan siber. UU Perlindungan Data Pribadi menjadi penting untuk melindungi data pribadi warga. #AnalisisData https://t.co/AQ15bOVaen,Negative
Workshop Perlindungan Data Pribadi di Internet: https://t.co/56L6rkc1Ul https://t.co/RQgrvsP2M9,SiBerkreasi,Workshop Perlindungan Data Pribadi di Internet: https://t.co/56L6rkc1Ul https://t.co/RQgrvsP2M9,Neutral
Dear @kemkominfo bukan ini kan tujuan uuite ??? Ayo kembalikan ke fungsi semula utk perlindungan transaksi elektronik dan perlindungan data pribadi,penguasahati,Dear @kemkominfo bukan ini kan tujuan uuite ??? Ayo kembalikan ke fungsi semula utk perlindungan transaksi elektronik dan perlindungan data pribadi,Positive
"Regulator perlindungan data utama Jerman, mencegah upaya pengumpulan data pribadi pengguna aplikasi perpesanan WhatsApp. #TempoTekno https://t.co/uIvo4nEA27",tempodotco,"Regulator perlindungan data utama Jerman, mencegah upaya pengumpulan data pribadi pengguna aplikasi perpesanan WhatsApp. #TempoTekno https://t.co/uIvo4nEA27",Neutral
"@Vie_Va77 @zarazettirazr @pinjollaknat di UU ITE ada aturan perlindungan data pribadi, cmiiw. Tapi......",krisnarenaldi,"@Vie_Va77 @zarazettirazr @pinjollaknat di UU ITE ada aturan perlindungan data pribadi, cmiiw. Tapi......",Neutral
"Beragam permasalahan hukum yang menyangkut penggunaan media sosial seringkali terjadi dan beraneka ragam seperti penyebaran hoax, kebocoran data pribadi, penipuan hingga pornografi. Bagaimana perlindungan hukum penggunaan media sosial? Yuk kepoin. https://t.co/dRRUBON1GS",kawanhukumid,"Beragam permasalahan hukum yang menyangkut penggunaan media sosial seringkali terjadi dan beraneka ragam seperti penyebaran hoax, kebocoran data pribadi, penipuan hingga pornografi. Bagaimana perlindungan hukum penggunaan media sosial? Yuk kepoin. https://t.co/dRRUBON1GS",Negative
CIPS: Pendataan Penerima Vaksinasi Mandiri Harus Perhatikan Aspek Perlindungan Data Pribadi https://t.co/vbJHGqeha1,WartaEkonomi,CIPS: Pendataan Penerima Vaksinasi Mandiri Harus Perhatikan Aspek Perlindungan Data Pribadi https://t.co/vbJHGqeha1,Positive
